GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
34007043046,1568,1294,792,232,76,11,184,6,502
34007043036,1685,1278,865,27,29,8,337,0,413
34007175001,1557,1301,1119,70,50,12,31,1,182
34007175003,1302,1052,895,36,82,12,24,0,157
34007040402,1672,1150,36,831,319,23,4,7,1114
34007135005,1115,894,518,198,134,21,45,4,376
34007005005,1238,1012,855,43,61,13,34,3,157
34007043022,1433,1083,944,46,39,3,46,5,139
34007080014,820,669,588,38,23,5,14,0,81
34007090007,1262,993,913,23,15,22,15,0,80
34007020001,2201,1708,1088,123,40,29,418,1,620
34007030003,2686,2172,1692,175,141,44,125,4,480
34007180102,1969,1677,1238,160,240,17,26,1,439
34007170018,2434,1985,893,112,243,26,707,1,1092
34007170004,2185,1986,1178,100,288,10,413,1,808
34007175008,852,702,640,19,27,14,7,0,62
34007175006,878,699,607,32,23,17,11,0,92
34007040303,1952,1384,110,749,561,43,23,11,1274
34007135014,1638,1284,261,451,545,50,41,2,1023
34007135010,1334,1057,403,275,262,20,119,3,654
34007125002,1181,964,869,42,18,14,17,0,95
34007055002,1330,1123,1014,39,31,5,39,0,109
34015120002,1774,1276,1063,29,107,21,46,0,213
34015045001,1162,932,793,55,42,20,20,3,139
34033035001,1066,853,652,53,108,20,11,6,201
34015045004,1423,1090,762,86,198,18,31,0,328
34015120003,933,709,597,38,39,9,24,0,112
34015050002,1250,996,892,37,17,15,31,0,104
34015050004,1546,1319,1148,42,71,20,32,0,171
34015075004,1386,1083,1023,20,23,7,12,0,60
34015090011,1037,803,693,35,19,5,47,0,110
34015070004,1061,817,603,70,124,13,15,0,214
34015070005,995,768,527,68,136,21,12,1,241
34015100001,1377,1098,842,55,142,14,46,1,256
34015095003,571,444,419,9,2,5,7,0,25
34007077302,1801,1405,1013,282,45,27,40,1,392
34007180106,1242,960,456,94,370,28,30,0,504
34007180104,1705,1400,1028,85,214,26,49,2,372
34007045001,1536,1270,561,143,530,25,20,2,709
34007180202,1588,1276,800,97,324,33,50,1,476
34007180105,1727,1371,1061,112,142,27,36,3,310
34007180205,1310,1090,827,96,128,15,20,0,263
34007180401,1140,966,713,88,147,20,20,2,253
34007005007,885,698,633,23,17,4,21,0,65
34007090002,798,656,579,19,14,10,24,3,77
34007110001,1892,1513,935,216,297,32,64,4,578
34007110002,1904,1473,802,260,372,24,45,4,671
34007140005,1961,1560,1110,132,248,33,47,3,450
34007050001,1753,1378,741,199,364,44,57,3,637
34007075028,2238,1727,692,161,773,34,116,1,1035
34007075037,964,686,207,74,385,10,26,0,479
34007077101,1690,1182,789,172,140,35,52,3,393
34007077201,1190,824,600,92,80,16,34,0,224
34007077301,2079,1561,1152,170,156,33,57,6,409
34007043027,1283,989,750,24,66,7,140,0,239
34007043013,1268,959,852,31,14,8,46,1,107
34007180306,1588,1171,286,67,717,15,96,2,885
34007180201,2340,1762,547,122,946,18,162,1,1215
34007040106,2064,1440,111,540,832,50,8,9,1329
34007040110,2133,1492,121,585,809,41,11,1,1371
34007040109,2050,1391,75,437,921,28,6,2,1316
34007043026,2032,1578,1238,54,83,13,205,1,340
34007043033,1789,1309,987,53,70,17,175,1,322
34015025010,1633,1349,1143,78,91,29,13,2,206
34015025002,1468,1142,987,41,83,15,15,1,155
34015025011,1595,1264,1035,70,92,45,18,5,229
34015055404,1058,794,624,64,69,19,24,3,170
