GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
34007043046,3283,1283,1938,62
34007175001,4098,2509,1488,101
34007040402,1839,171,1637,31
34007135005,2912,1014,1834,64
34007005005,3425,1299,2011,115
34007043022,4671,1748,2816,107
34007080014,2712,968,1684,60
34007090007,4014,1648,2280,86
34007030003,6639,3239,3273,127
34007180102,3809,2439,1297,73
34007170018,3394,651,2671,72
34007175008,1572,971,575,26
34007040303,1866,224,1609,33
34007135014,3685,592,3045,48
34007135010,3195,911,2216,68
34007125002,3494,1548,1859,87
34007055002,4451,897,3428,126
34015120002,4840,2708,2032,100
34015045001,2785,1740,950,95
34015045002,5137,1904,3111,122
34033035001,3030,1699,1245,86
34015045004,3914,1574,2259,81
34015050002,3834,1898,1829,107
34015075004,4280,2217,1948,115
34015090011,3340,1869,1404,67
34015070004,2221,1017,1157,47
34015095003,2086,981,1054,51
34007077302,3192,1586,1544,62
34007180106,2651,774,1832,45
34007180401,3041,1439,1545,57
34007005007,2825,1250,1523,52
34007090002,2660,818,1783,59
34007110001,3978,1450,2443,85
34007140005,4321,1851,2377,93
34007050001,3136,1193,1848,95
34007075028,3631,1036,2539,56
34007077101,1963,745,1171,47
34007043027,3838,1281,2490,67
34007043013,4359,1908,2368,83
34007180306,3692,584,3061,47
34007040106,2443,139,2261,43
34007040110,1873,158,1677,38
34007043026,5732,1931,3705,96
34015025010,4246,2624,1495,127
34015055404,2213,1270,888,55
34031075009,7407,3954,3195,258
34031010205,4662,2185,2338,139
34031005003,3952,2138,1675,139
34031010307,2609,571,1960,78
34031070104,3584,2002,1499,83
34007075005,4207,1724,2402,81
34041110003,4021,2477,1426,118
34031010302,1660,441,1175,44
34031010106,4039,2259,1699,81
34031040605,2800,329,2425,46
34031010110,2534,1183,1307,44
34031020402,5012,2499,2395,118
34015015007,5714,2506,3095,113
34015015001,4529,2349,2089,91
34015035001,1841,891,901,49
34015035004,2492,1327,1066,99
34015010014,3905,1800,2017,88
34015105001,3015,1537,1389,89
34015035002,2777,1577,1143,57
34007170001,5621,1828,3675,118
34007055001,3168,761,2323,84
34007180201,6067,1258,4711,98
34007155003,2741,589,2123,29
34007015002,2992,1167,1755,70
34007015005,2340,853,1439,48
34007100001,2496,964,1447,85
34007040407,2340,267,2044,29
34007075019,5322,2101,3128,93
34007180204,4498,1679,2736,83
34007155004,2894,926,1895,73
34007040401,1932,92,1807,33
34041005004,3628,2484,1065,79
34031020401,4092,1900,2118,74
34031040102,3449,215,3149,85
34031010105,6201,2414,3683,104
34015025003,5251,2911,2229,111
34015120001,5370,2781,2492,97
34015055120,2785,1195,1522,68
34015055117,2565,1258,1223,84
34031055005,4376,2192,2068,116
34031055004,5495,3352,2004,139
34031035304,4655,2560,2017,78
34041110002,2711,1685,947,79
34041065001,4752,3128,1506,118
34041095703,1874,953,863,58
34031070101,2722,1326,1302,94
34015020003,4194,2705,1402,87
34015090006,5238,2627,2538,73
34015090001,3630,1890,1671,69
34015095002,2739,908,1731,100
34015010010,3990,1855,1996,139
34015090002,3786,2299,1437,50
34015055123,4697,2386,2226,85
34015070002,2381,277,2043,61
34015030009,2112,1041,987,84
34015030006,2653,1036,1522,95
34015030008,3058,1171,1795,92
34041010001,3006,1718,1182,106
34041095101,2589,1266,1226,97
34041095501,2295,1096,1110,89
34031010102,6957,2668,4114,175
34031010506,4137,1530,2507,100
34031010505,3360,1102,2134,124
34031010503,2892,765,2066,61
34031040103,2942,233,2654,55
34031040409,2401,149,2208,44
34031070207,3975,1852,2057,66
34031040610,3080,559,2429,92
34031010404,3144,847,2203,94
34031040603,3978,539,3362,77
34031055007,3759,1894,1795,70
34031055003,3731,1779,1818,134
34011035001,4037,2667,1307,63
34011035002,3454,2080,1263,111
34011025003,2529,1524,933,72
34011ZZZZZZ,0,0,0,0
34027110023,2971,1449,1470,52
34027135012,2684,1276,1344,64
34015055411,1736,932,759,45
34015110301,2515,1060,1380,75
34033040001,2522,563,1848,111
34033070002,5220,3673,1418,129
34015050012,4445,2267,2072,106
34015110202,1696,157,1499,40
34015085002,2664,985,1587,92
34031025008,2529,1179,1313,37
34031040204,3921,662,3199,60
34033000705,3045,979,1986,80
34033050005,3729,2142,1465,122
34033020001,3005,2288,617,100
34027100002,3878,1957,1837,84
34027190012,4345,2575,1671,99
34015020004,3284,2079,1131,74
34015020002,2650,1723,870,57
34015100015,3282,1581,1582,119
34015100007,4198,1997,2084,117
34011060001,3983,2812,1092,79
34011010004,1888,1142,683,63
34011005101,1796,181,1531,84
34011005302,1227,337,856,34
34011065002,4569,2465,1972,132
34027075005,3626,1925,1613,88
34027075001,6066,3501,2415,150
34027180401,4672,2802,1778,92
34027145024,5997,2673,3220,104
34031010204,3613,872,2633,108
34031040503,2999,369,2577,53
34031040504,4196,397,3731,68
34031040602,1878,238,1620,20
34031045001,4974,2829,1992,153
34031075011,5421,3139,2150,132
34031075001,5079,3437,1514,128
34011070303,1223,198,985,40
34011050202,1998,707,1199,92
34023077101,2363,1300,992,71
34023085203,4005,1044,2890,71
34023085209,2511,713,1751,47
34023090004,4157,1137,2919,101
34023090005,6364,1338,4896,130
34023005017,2636,1025,1568,43
34023065211,2406,990,1400,16
34023025054,2119,831,1262,26
34023025050,2400,842,1519,39
34023077103,2581,1331,1175,75
34023080610,2224,433,1768,23
34023080602,1636,277,1322,37
34023090008,1731,326,1382,23
34023085304,3921,574,3304,43
34023020038,2633,1134,1445,54
34023055007,3910,2195,1571,144
34031030006,4723,2781,1828,114
34031035306,2741,782,1889,70
34031040505,4139,390,3674,75
34031005005,1882,972,877,33
34031060006,4685,3131,1509,45
34031070603,4431,2256,2090,85
34041030001,3569,2323,1139,107
34041105002,4442,2230,2054,158
34027040401,3728,2139,1536,53
34023025012,3113,1114,1925,74
34023025010,2267,1212,989,66
34023025011,2923,1158,1642,123
34011035003,3730,2360,1298,72
34027065002,3057,1684,1308,65
34011025002,2983,203,2740,40
34011005301,1891,996,843,52
34027040301,3042,1647,1328,67
34027040403,3893,2024,1822,47
34027170002,2936,1573,1281,82
34027100003,2581,1182,1346,53
34015120005,5253,2318,2815,120
34015015005,3325,1816,1459,50
34015090016,5283,3028,2159,96
34015030002,1891,198,1653,40
34015010004,3795,1837,1901,57
34015010019,3190,1325,1776,89
34015010008,3019,1495,1464,60
34015025002,4411,2502,1789,120
34015050009,3700,1764,1840,96
34035070015,3386,1092,2227,67
34035030003,3344,1552,1719,73
34035010008,3716,1880,1786,50
34035105004,3899,2054,1758,87
34035030005,3951,1258,2618,75
34035050001,2596,1375,1142,79
34035070011,2218,651,1523,44
34035070013,2135,541,1536,58
34021055N11,1712,64,1630,18
34021055E09,2893,562,2248,83
34021055N05,2012,652,1309,51
34021035006,3692,1196,2384,112
34035030008,3058,1338,1666,54
34035065017,3779,1068,2646,65
34035065012,3476,1335,2040,101
34035090008,2641,502,2054,85
34035090005,1510,505,964,41
34035090004,1328,413,876,39
34035040439,3529,325,3142,62
34035030004,3943,1971,1888,84
34035040551,3430,1130,2224,76
34021055W15,3189,111,3028,50
34021055N12,2104,183,1885,36
34023077508,3812,2008,1738,66
34023077207,2757,1275,1446,36
34023110011,2940,1481,1388,71
34023015001,2330,878,1361,91
34023110014,3897,2083,1750,64
34023005005,2219,730,1454,35
34023050010,4146,1345,2700,101
34023125410,3354,1055,2232,67
34023125412,1762,568,1166,28
34023077604,2578,1496,1033,49
34023020014,4713,1825,2780,108
34023050006,2595,846,1706,43
34023025057,2110,875,1185,50
34023075002,3532,1383,2081,68
34023075011,4892,2267,2546,79
34023105025,3427,754,2605,68
34023105016,5276,1406,3804,66
34023120005,3334,1904,1325,105
34023115009,1681,687,958,36
34023095009,1835,1044,763,28
34023115007,1860,960,874,26
34023110007,4262,1704,2497,61
34023125508,3239,1678,1483,78
34023125512,3425,1752,1560,113
34023077608,4208,1990,2143,75
34027135020,4128,2172,1853,103
34027195001,2594,1070,1444,80
34027160017,5866,2897,2883,86
34025155018,4828,2399,2285,144
34025140022,3663,1699,1913,51
34011015001,7011,4032,2839,140
34011005201,873,80,792,1
34011020002,1339,968,345,26
34011050303,1245,351,863,31
34011070501,1809,473,1262,74
34011070403,1905,374,1472,59
34011070201,1717,343,1341,33
34011070504,1825,314,1448,63
34011070405,3107,921,2088,98
34011065001,4399,2709,1601,89
34011070506,1833,781,996,56
34011050302,2648,1464,1144,40
34025015007,2535,679,1788,68
34025005001,1399,822,551,26
34025250002,3569,2283,1152,134
34025090005,6632,4016,2476,140
34025090004,4945,2734,2134,77
34025247007,3757,1907,1749,101
34025247009,5469,2300,3046,123
34001010301,3358,149,3166,43
34027025007,4063,1770,2223,70
34001110004,4598,2607,1899,92
34001110002,4223,1891,2225,107
34001110001,5067,2148,2798,121
34001015101,7730,4879,2708,143
34001055008,6137,3075,2893,169
34001ZZZZZZ,0,0,0,0
34001015201,5838,3509,2212,117
34025003009,3829,1816,1936,77
34025155011,3160,1885,1183,92
34025155013,5808,3552,2102,154
34025260009,7022,4640,2236,146
34025260011,5761,3391,2267,103
34027175202,2391,1096,1254,41
34027110006,2309,1161,1118,30
34027082003,4128,2323,1691,114
34027015005,3580,2178,1335,67
34027045103,2607,703,1861,43
34027045102,2155,585,1514,56
34027045203,2086,476,1560,50
34027050004,5053,3549,1448,56
34027050002,3827,2653,1122,52
34027145026,2399,793,1536,70
34027145025,4584,2049,2474,61
34001060006,4879,2686,2052,141
34001040004,5815,3616,2040,159
34001075001,2982,1864,1076,42
34001042201,1728,689,999,40
34001060008,5117,2699,2278,140
34027135021,4831,1985,2747,99
34027070001,6736,3673,2945,118
34027110021,3098,1464,1587,47
34027110011,3294,1509,1739,46
34027145014,2424,1074,1277,73
34027145017,2558,1296,1233,29
34027145013,2747,1187,1501,59
34027045202,2135,663,1416,56
34027045101,1487,464,992,31
34027120301,2774,812,1892,70
34027070003,4261,2462,1710,89
34027170001,3627,1939,1592,96
34027145020,3848,1857,1923,68
34027115006,2795,1256,1488,51
34027135010,4186,1983,2060,143
34027135013,2931,1629,1241,61
34027013004,5249,2755,2397,97
34027135007,3201,1286,1832,83
34027005101,2717,1228,1400,89
34027175201,4055,1741,2217,97
34027190009,3926,2136,1710,80
34027160004,3483,1477,1972,34
34027110014,3586,1139,2380,67
34027082001,5111,2711,2270,130
