GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
39061031AKJ,1234,1098,419,36,597,8,22,4,679
39061031ABK,1505,1207,1052,31,62,22,35,2,155
39061031BAE,1040,760,663,18,43,18,19,1,97
39061031AEK,1241,929,818,26,33,21,39,0,111
39061031BKQ,1722,1291,633,36,524,12,75,0,658
39061031BLU,1617,1277,648,56,530,16,38,1,629
39061031BMA,1501,1195,896,21,180,29,61,0,299
39061031AYG,1738,1217,840,20,303,9,41,1,377
39061031AOO,2028,1464,1115,42,273,24,11,3,349
39061031BQN,1815,1636,1157,61,312,23,81,5,479
39061031AHE,1837,1620,1117,70,292,30,95,2,503
39167084ABR,1133,870,801,4,35,29,4,1,69
39167084ACY,952,747,607,6,98,50,2,0,140
39167084ACM,547,421,405,4,3,7,1,0,16
39061031BNQ,1398,1017,858,25,43,16,63,1,159
39061031BKN,1720,1300,612,72,555,20,42,6,688
39061031ABE,899,775,652,16,67,12,27,0,123
39061031AFB,1276,1222,943,73,83,10,108,4,279
39061031BQM,1997,1945,1168,44,602,15,110,5,777
39061031AFA,1853,1789,1205,95,311,13,143,2,584
39061031AJP,1260,857,75,25,723,17,21,1,782
39061031AVB,1296,1130,939,48,75,26,40,0,191
39061031AFD,1738,1441,1005,22,349,21,45,2,436
39061031AFC,1406,1252,776,64,325,22,65,1,476
39061031AWL,1076,844,657,16,133,23,11,1,187
39061031ANR,1916,1490,595,71,774,33,28,3,895
39061031BDM,1108,835,643,28,82,15,40,0,192
39061031BDT,1768,1348,1195,43,40,28,36,3,153
39061031BAQ,1003,750,696,21,9,12,11,1,54
39061031AZK,1685,1257,1148,43,10,22,22,1,109
39061031BHE,1632,1319,1176,7,78,11,42,1,143
39061031BOM,2367,2039,731,75,1113,10,106,0,1308
39061031AKY,2056,1604,1261,45,230,31,43,10,343
39061031AJA,1954,1574,824,103,576,30,55,7,750
39061031ACB,2285,2112,1442,112,360,35,158,4,670
39061031AJN,1956,1648,1195,60,304,30,56,2,453
39061031BEY,1816,1457,1247,22,111,27,24,1,210
39061031BFB,1482,1176,1077,11,29,22,30,0,99
39061031BOI,2158,1645,1515,23,52,26,11,0,130
39061031ABB,381,325,300,3,2,9,2,1,25
39061031AUG,1273,1072,575,26,425,21,11,0,497
39061031AUJ,1796,1355,627,25,656,37,17,1,728
39061031AKL,1660,1413,778,37,547,15,35,0,635
39061031AMU,1271,945,613,12,302,10,17,4,332
39061031ACI,1975,1774,1496,78,95,38,65,3,278
39061031BEB,1864,1322,1112,26,107,45,29,2,210
39061031BDZ,2014,1527,1312,17,139,37,16,1,215
39061031AXW,875,711,312,36,335,7,24,4,399
39061031ASP,2261,1660,1450,57,75,31,47,1,210
39061031AMC,1658,1381,692,27,620,24,21,0,689
39061031AMD,2111,1246,90,19,1130,30,1,0,1156
