GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
13091000LEE,16962,10753,5959,250
130910RAWLI,3516,2664,807,45
130910MITCH,1492,1177,300,15
130910EDDIN,4081,2837,1198,46
130910MULLI,1895,1482,390,23
130910PLAIN,1817,1611,193,13
1315300ROZR,50510,32893,16853,764
1315300HEFS,5352,3460,1839,53
1315300RECR,26226,5903,19829,494
13153000VHS,23074,15990,6678,406
13153000BMS,37554,25238,11608,708
1315300HHPC,31813,15845,15302,666
1305900006A,12805,5938,6596,271
13269000005,8637,7265,1261,111
13319000010,7223,3426,3733,64
13209000005,5277,3082,2127,68
13209000001,1911,1368,527,16
13161000402,2549,2342,181,26
13209000007,3507,2591,875,41
13185000001,19742,15589,3851,302
13153000TMS,18403,7926,10130,347
13071000008,4737,4237,451,49
13183000002,7736,4988,2560,188
13015000003,22161,14363,7297,501
13015000016,18586,11786,6329,471
13015000005,37761,27738,9204,819
13015000011,14362,10745,3330,287
1315300FMMS,34061,19060,14305,696
1315300NSES,9566,6058,3354,154
1315300CENT,28257,16829,10874,554
13015000014,10505,9310,1005,190
13183000006,1064,846,200,18
13185000009,13993,10924,2872,197
13185000003,84168,37704,44965,1499
13185000006,11187,1542,9536,109
13185000005,33669,22175,10912,582
13185000007,14915,10612,4076,227
13275000115,4313,3522,733,58
1305900007C,11475,4327,6828,320
13173000001,17782,12507,4930,345
13263000008,4487,1726,2699,62
13133000008,30074,24135,5625,314
13133000001,15461,7225,8061,175
13263000002,3091,1544,1514,33
13133000004,6715,3252,3395,68
13133000005,3841,1823,1993,25
13133000006,1526,797,717,12
1315300MCMS,34863,21820,12406,637
1305900002A,12007,2232,9577,198
1305900001A,10051,3922,5881,248
1305900005C,8993,1059,7771,163
1305900005D,9577,2326,7048,203
1315300ANNX,18829,12561,5885,383
13273000001,10619,2673,7849,97
13015000004,28657,20054,8051,552
13015000018,6002,4558,1310,134
13015000009,5071,4464,516,91
13015000015,9931,8332,1371,228
