GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
1705700LS02,386,315,295,2,3,10,2,1,20
17169000802,817,658,594,22,25,10,10,1,64
17169000803,577,454,417,7,11,10,6,1,37
1710300AL01,510,393,361,18,4,5,0,0,32
1705700DE01,232,188,186,0,1,1,0,0,2
1705700AS01,740,575,553,9,1,6,0,0,22
1705700AS02,508,393,389,3,0,1,0,0,4
17003000104,540,437,138,4,288,4,1,0,299
1705700PT02,862,693,659,4,4,19,3,0,34
1705700PT01,1105,909,878,0,7,17,5,1,31
17095000301,406,314,285,8,10,4,2,0,29
1705700LS06,636,510,501,4,0,5,0,0,9
1705700CA10,839,658,631,4,4,13,1,0,27
1705700CA01,731,562,522,9,12,11,4,1,40
1705700FA05,879,694,672,5,5,6,2,3,22
17129000005,561,443,427,0,1,12,3,1,16
17129000008,708,558,548,4,1,4,1,0,10
17129000006,845,655,622,4,6,15,2,1,33
1702100TL04,1859,1489,1406,12,14,24,7,0,83
1702100SF03,683,537,492,11,5,20,1,0,45
1702100TL05,2037,1615,1557,19,2,30,5,0,58
1702100TL03,1122,900,834,15,7,10,23,0,66
17169000501,136,101,95,1,0,2,0,0,6
1705700WD01,345,291,279,2,1,4,3,0,12
17141000008,1663,1241,1083,76,25,37,8,2,158
17141000007,1449,1117,1063,18,13,10,13,0,54
17141000006,1616,1085,996,41,9,19,14,0,89
17141000005,1763,1355,1215,51,22,44,13,1,140
1710300AM01,848,686,637,19,5,11,8,0,49
1710300AM02,931,729,660,32,19,11,5,0,69
1705700CA16,1085,877,851,10,5,2,8,0,26
1705700VT02,259,205,196,1,0,6,0,0,9
1705700VT01,435,333,318,7,1,5,0,0,15
1703700SH01,1344,1061,998,34,7,14,7,1,63
1703700FR01,2231,1701,1490,124,21,49,5,3,211
1703700CO04,773,575,462,33,42,10,20,2,113
1705100LO01,881,691,677,3,1,6,3,1,14
1705100BG01,553,442,430,2,0,4,3,0,12
1705100SF01,559,430,420,2,2,3,3,0,10
1705100ST01,466,358,342,3,1,8,4,0,16
17065000301,386,299,292,1,1,5,4,0,7
17003000301,420,352,195,6,138,10,0,0,157
1705100RA01,1665,1261,1214,11,5,31,2,1,47
17065000401,514,383,365,3,0,14,0,0,18
17091Arom04,1528,1237,1051,69,85,20,6,2,186
17091Arom02,1793,1476,1164,125,136,28,7,0,312
17093SE0901,1810,1268,1001,178,50,30,16,1,267
17093SE0903,2816,1782,991,392,291,53,75,2,791
17093SE0902,2029,1292,782,273,189,30,39,0,510
17093LI0104,1159,840,464,305,46,26,6,1,376
17093LI0107,891,708,520,136,18,23,10,1,188
17093LI0106,1052,791,475,286,14,11,4,0,316
17093LI0101,1182,911,596,257,27,38,12,1,315
17093LI0105,1001,778,478,252,15,24,5,2,300
17091Sumn01,837,651,588,40,0,20,0,0,63
17091Yell01,1206,957,824,93,4,19,5,2,133
17091Pilo02,897,686,645,6,5,15,4,1,41
17091Pilo01,1082,832,778,26,6,15,7,0,54
1705100SM01,482,376,368,1,1,4,2,0,8
1705100PO01,235,186,178,1,0,7,0,0,8
1702100JN01,798,618,569,6,3,23,7,0,49
1702100LT01,3137,3004,2059,700,221,4,18,0,945
1702100PN03,1182,911,880,11,3,13,6,0,31
1702100MT01,912,720,691,3,2,15,3,0,29
1702100RM01,345,275,267,0,2,2,2,1,8
1717500WGOS,557,450,435,6,1,5,1,0,15
1719700JO30,2571,1907,864,772,221,58,22,0,1043
1719700LO24,1636,1163,206,385,561,56,11,0,957
1719700LO19,1709,1484,1224,145,77,12,23,0,260
17095000402,591,482,457,5,8,5,1,0,25
1702500BBG1,330,250,240,1,0,2,2,0,10
17129000012,1111,821,771,14,7,20,6,0,50
17129000014,1290,975,903,20,11,24,13,0,72
17141000021,1042,752,433,289,7,19,13,0,319
17141000046,947,757,709,17,4,10,7,3,48
17141000050,936,796,762,18,2,10,3,0,34
1719700JO29,2637,1925,609,948,342,70,11,5,1316
1719700JA02,1937,1592,1402,108,39,23,12,1,190
1719700TR18,1976,1496,782,323,333,37,55,0,714
1719700TR19,2901,2130,785,596,630,31,88,2,1345
1719700TR16,1970,1684,1150,246,218,32,57,0,534
1719700TR17,2078,1620,1369,132,60,21,23,0,251
1719700TR10,2207,1682,1172,313,86,43,82,1,510
1719700TR11,2144,1797,1396,198,139,30,37,1,401
1719700TR21,2303,1591,1270,137,98,22,50,0,321
1719700JO36,1778,1328,299,368,641,42,9,1,1029
1719700JO34,1805,1343,312,429,577,36,11,0,1031
1719700PL33,1867,1502,1075,299,56,34,37,1,427
1719700HO10,2433,1828,1622,123,25,22,38,0,206
1719700HO13,2682,1920,1648,148,47,17,52,0,272
1719700HO01,2055,1601,1411,116,16,24,15,2,190
1719700JO27,1542,1064,244,542,271,40,10,2,820
1719700JO31,2200,1604,703,648,215,48,19,4,901
1719700JO33,2012,1553,848,520,152,49,10,1,705
1719700JO25,2080,1681,836,492,299,46,41,1,845
171670CA001,1518,1157,1099,19,4,25,3,1,58
171670WD005,1131,902,778,19,79,15,5,0,124
171670WD006,1275,1034,808,29,141,35,10,0,226
171670CP021,651,538,424,9,78,13,14,0,114
171670CP048,972,632,104,12,495,23,8,1,528
171670CP087,1429,1193,613,29,507,26,7,0,580
171670CP076,1289,945,395,23,499,17,16,2,550
171670CP083,807,602,299,17,268,13,6,0,303
171670CP084,1210,942,636,27,247,27,9,0,306
171670CP023,970,617,88,4,507,7,1,1,529
171670SP003,807,659,589,13,35,14,5,0,70
171670SP002,1193,919,730,18,145,22,10,1,189
171670SP001,1365,1051,781,16,207,30,12,0,270
171670CP026,743,560,434,12,88,21,11,0,126
171670CP051,1097,913,628,26,197,17,37,1,285
171670CP040,598,490,406,14,42,14,13,0,84
171670WD010,987,775,699,13,26,15,20,1,76
171670CP020,1577,1175,931,36,35,4,155,0,244
171670CP022,1458,1149,1058,20,26,7,33,0,91
171670BH001,178,140,132,0,0,3,2,0,8
