GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
2400107-002,2147,1701,1589,8,29,22,45,0,112
2400105-004,1735,1377,1214,22,104,21,12,1,163
2400124-000,1764,1493,1437,12,20,14,14,1,56
2400120-000,1896,1557,1493,15,10,24,10,1,64
2400107-001,5068,4669,2153,117,2305,57,27,1,2516
2402102-016,4125,3143,1412,571,855,77,254,11,1731
2402102-006,3901,3054,1936,420,434,55,242,3,1118
2400902-004,4866,3720,2627,99,799,88,90,9,1093
2400903-007,4154,3141,2543,127,272,68,115,4,598
2400903-006,3234,2482,2003,105,211,60,94,10,479
2402117-001,2135,1703,1581,34,20,27,20,3,122
2402118-001,4255,3312,2799,201,156,71,85,6,513
2402118-002,3361,2607,2435,47,53,40,19,4,172
2402121-001,2219,1814,1555,121,52,26,63,1,259
2402121-005,0,0,0,0,0,0,0,0,0
2402121-007,889,730,647,33,18,5,27,0,83
2402121-006,0,0,0,0,0,0,0,0,0
2402121-008,33,23,13,5,0,3,0,0,10
2402109-002,6443,4823,3601,416,336,71,362,1,1222
2402109-001,4370,3115,2641,121,119,40,165,2,474
2402113-002,170,144,112,22,3,3,2,3,32
2402113-003,1017,724,563,46,68,19,37,0,161
2402113-001,6284,4511,3799,243,195,109,139,6,712
2400303-006,12984,9941,5417,672,2958,199,798,32,4524
2400303-007,3117,2343,1915,78,202,59,69,6,428
2400302-007,4375,3446,1942,351,852,97,232,9,1504
2400302-004,3151,2592,1458,126,742,53,200,11,1134
2400307-007,2968,2373,2051,91,105,40,64,8,322
2400304-015,3564,2852,2450,83,144,64,87,15,402
2400303-004,4389,3364,2461,229,409,94,157,8,903
2400307-025,2952,2341,1936,70,212,64,40,2,405
2400302-014,5694,4386,1314,420,2467,93,172,13,3072
2400302-005,4085,3205,1562,459,983,86,159,5,1643
2400302-017,5071,3801,1267,488,1756,81,264,10,2534
2400302-012,2634,2052,1404,273,239,87,76,3,648
2402111-001,3373,2613,2350,92,66,54,43,0,263
2402125-001,5260,4025,3244,248,315,104,96,5,781
2402103-002,4572,3527,3119,132,81,70,109,4,408
2402105-001,7415,6087,5001,269,536,126,159,27,1086
2402107-003,3489,2656,2114,186,116,51,183,1,542
2402107-004,4225,2894,1809,245,268,61,534,3,1085
2402123-001,7704,5922,3708,737,980,87,436,10,2214
2402123-004,0,0,0,0,0,0,0,0,0
2402106-001,2063,1687,1596,18,19,27,15,2,91
2402103-001,2811,2171,1976,83,44,37,31,5,195
2402114-001,4357,3534,3100,147,125,73,92,4,434
2402114-002,624,500,463,5,11,6,8,1,37
2400901-002,4153,3101,2015,130,847,81,42,10,1086
2400901-006,4810,3602,2632,149,570,116,133,5,970
24009ZZZZZZ,13,12,1,3,4,0,4,0,11
2400901-003,3550,2744,2162,110,340,77,57,2,582
2400903-005,4026,3099,2215,93,647,61,71,8,884
2400903-004,3727,2869,2355,108,281,70,61,5,514
2402102-011,4695,3782,2250,489,813,80,180,11,1532
2402107-002,7756,5085,2370,630,675,76,1354,11,2715
2402107-005,154,126,103,6,3,1,15,0,23
2402109-009,2660,1923,1261,173,277,59,172,0,662
2402109-003,786,593,441,52,32,11,52,0,152
2402112-001,4628,3354,2590,240,364,96,95,0,764
2402112-002,6,6,3,3,0,0,0,0,3
2400903-008,5319,3784,2891,143,540,75,123,16,893
2400901-005,4816,3585,2595,188,652,93,57,5,990
2400901-007,4131,3214,2522,89,440,72,70,12,692
2402110-001,2407,1907,1732,61,48,45,26,3,175
2402102-010,6397,4955,2920,747,962,100,279,13,2035
2402102-005,5976,4945,3803,372,514,86,169,22,1142
2402102-018,2745,1951,1176,171,424,44,163,3,775
2402102-015,6077,5033,3645,362,716,65,255,9,1388
2402102-007,5370,4443,3034,497,665,87,201,4,1409
2403321-005,4075,3119,273,1491,1104,143,288,5,2846
2403302-003,3987,3002,690,424,1764,62,121,5,2312
2403306-022,5544,4293,70,191,4014,39,38,1,4223
2403306-021,861,677,32,106,520,13,17,0,645
2403310-009,6636,4886,693,1439,2527,164,229,7,4193
2402102-004,10105,7276,2335,2716,1495,200,701,11,4941
2402102-001,5207,4145,2146,718,948,92,287,4,1999
2402104-001,1240,1017,952,34,6,18,9,1,65
2400901-004,3318,2638,2097,65,338,67,47,7,541
2402124-002,1205,982,803,70,51,20,28,3,179
2402124-004,27,18,4,10,1,7,0,0,14
2402124-005,1503,1131,585,132,285,28,126,0,546
2402124-006,38,34,29,4,1,2,1,0,5
2402109-005,1913,1483,1327,61,34,20,35,1,156
2402109-004,4645,3589,3139,150,84,73,120,3,450
2402108-001,2597,2059,1812,76,67,51,45,0,247
2402116-001,4375,3374,2992,98,96,57,101,7,382
2402102-003,4219,3655,2860,277,359,97,91,7,795
2402109-007,6957,5002,4049,279,236,88,304,11,953
2402109-006,5114,3635,2743,221,313,54,304,14,892
2402107-001,3098,2424,1885,149,165,25,193,5,539
2402107-007,1213,823,506,79,98,14,124,1,317
2400903-001,3183,2519,1921,132,321,74,83,13,598
2402121-002,2629,2019,1417,144,275,28,134,2,602
2402102-008,8732,6569,2818,1717,1430,171,558,1,3751
2402121-003,1664,1338,1052,76,96,14,100,2,286
2402101-002,7339,5282,2801,784,1138,92,493,14,2481
2403304-001,2502,2086,1107,159,727,87,43,2,979
2403320-005,3888,2949,291,1321,1235,130,159,3,2658
2403320-001,5069,3892,384,1478,1924,113,155,2,3508
2403301-004,4511,3468,743,1484,784,108,473,14,2725
2403301-005,4050,3191,949,1238,645,100,362,1,2242
2403301-006,2531,1965,247,487,1080,40,150,4,1718
2403318-002,2707,2078,42,378,1636,30,33,1,2036
2403318-015,168,113,0,27,88,3,3,0,113
2403302-002,2922,2218,223,1046,790,83,184,8,1995
2403306-029,1005,856,34,80,716,26,18,0,822
2403306-028,1121,923,83,117,694,5,18,2,840
2403306-014,614,496,41,35,395,4,31,1,455
2403314-008,3867,2939,280,323,2001,51,350,12,2659
2403314-012,3172,2581,648,175,1431,35,344,4,1933
2403317-002,3576,2793,498,1124,1086,101,97,14,2295
2403314-009,4581,3558,775,349,2176,52,268,5,2783
2403314-013,1615,1213,279,52,773,15,109,2,934
2403314-017,37,30,3,11,14,6,1,0,27
2403314-001,3437,2764,824,258,1515,51,165,1,1940
2403314-014,27,15,3,5,5,0,2,0,12
2403312-015,3718,2984,121,369,2382,47,97,1,2863
2403317-010,9840,7307,184,5107,1884,389,231,12,7123
2403317-013,1973,1377,45,971,305,111,57,3,1332
2403307-009,5285,4167,271,144,3605,45,170,4,3896
2401506-001,5430,4113,3726,153,60,102,50,1,387
2401506-002,3999,3137,2920,68,31,79,29,6,217
2401505-005,6600,4954,4259,172,295,138,84,9,695
2401506-003,1203,923,863,8,13,18,16,1,60
2401509-001,2768,2139,2000,41,19,51,14,4,139
2401505-002,4393,3474,2802,131,333,105,86,10,672
2401505-004,3830,2774,2091,179,371,82,62,8,683
2401507-002,5588,4440,3429,145,658,134,78,8,1011
2401507-004,559,447,389,22,5,11,15,1,58
2401507-003,1466,1182,973,42,109,36,15,2,209
2401507-001,4125,3208,2886,60,119,87,35,0,322
2401504-001,5288,4244,3822,159,78,86,53,1,422
2401504-002,3830,2930,1821,201,707,69,137,2,1109
2401503-006,3109,2408,2112,111,81,75,12,1,296
2402121-004,4795,3418,1938,394,736,45,328,10,1480
2402101-001,3951,3073,2459,186,212,47,142,5,614
2402101-003,2704,2005,1564,196,136,32,50,0,441
2403318-001,4164,3263,66,404,2769,88,26,3,3197
2403320-007,2061,1506,16,339,1151,45,11,1,1490
2403320-018,3765,2523,54,397,1932,35,146,4,2469
2403317-003,15919,11134,185,9537,1200,1366,255,16,10949
2403312-001,3572,2688,184,940,1184,71,374,18,2504
2403312-002,2697,2113,102,560,1372,39,81,9,2011
2403302-005,5119,3630,160,2647,798,222,50,8,3470
2403302-097,0,0,0,0,0,0,0,0,0
2403302-098,36,26,0,22,3,1,1,0,26
2403316-001,1612,1165,149,646,349,42,14,4,1016
2403319-001,7010,5103,1015,2622,1178,254,294,10,4088
2403319-004,4935,3363,136,2362,862,173,59,2,3227
2403313-014,6164,4651,107,229,4159,69,180,3,4544
2403313-020,1020,721,10,96,606,21,11,0,711
2403313-005,4159,3442,539,152,2691,40,97,4,2903
2403313-013,2446,2008,52,80,1847,35,44,4,1956
2403313-012,4144,3343,75,134,3077,35,106,4,3268
2403306-010,4386,3514,123,266,3059,75,108,2,3391
2403318-007,3841,2863,62,356,2446,58,25,4,2801
2400902-008,4767,3582,2690,121,552,98,127,3,892
2400902-005,4083,3151,2571,105,269,81,97,3,580
2400902-002,4361,3289,2211,157,760,70,80,2,1078
2402115-002,4900,3939,3616,114,56,75,58,1,323
2402126-001,5111,3811,3056,265,273,83,129,5,755
2400111-000,1138,916,849,7,21,6,25,4,67
2400123-000,2734,2113,1784,58,194,51,27,1,329
2400106-001,1759,1428,1244,28,102,17,30,0,184
2400106-099,0,0,0,0,0,0,0,0,0
2400122-001,2348,1984,1669,44,198,46,34,1,315
