GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
34007043046,3377,1310,2009,58
34007175001,4264,2651,1518,95
34007040402,1834,188,1614,32
34007135005,2951,1035,1858,58
34007005005,3491,1353,2024,114
34007043022,4917,1853,2955,109
34007080014,2773,1013,1704,56
34007090007,4096,1699,2319,78
34007030003,7153,3506,3526,121
34007180102,3986,2632,1295,59
34007170018,3489,693,2732,64
34007175008,1850,1162,659,29
34007040303,1870,233,1605,32
34007135014,3821,639,3140,42
34007135010,3223,955,2204,64
34007125002,3602,1653,1869,80
34007055002,4570,919,3532,119
34015120002,4989,2837,2055,97
34015045001,2818,1805,929,84
34015045002,5323,2035,3175,113
34033035001,3112,1802,1236,74
34015045004,3994,1698,2220,76
34015050002,4024,2023,1894,107
34015075004,4426,2338,1978,110
34015090011,3435,1965,1401,69
34015070004,2206,1076,1090,40
34015095003,2124,1005,1067,52
34007077302,3250,1667,1521,62
34007180106,2732,845,1844,43
34007180401,3110,1511,1545,54
34007005007,2891,1295,1551,45
34007090002,2702,851,1797,54
34007110001,4014,1495,2437,82
34007140005,4445,1996,2367,82
34007050001,3205,1216,1902,87
34007075028,3733,1079,2600,54
34007077101,1999,776,1183,40
34007043027,3853,1331,2459,63
34007043013,4531,1987,2470,74
34007180306,3747,605,3094,48
34007040106,2471,139,2293,39
34007040110,1913,166,1707,40
34007043026,6015,2008,3925,82
34015025010,4441,2807,1510,124
34015055404,2317,1367,898,52
34031075009,7576,4090,3256,230
34031010205,4804,2263,2402,139
34031005003,4061,2230,1699,132
34031010307,2609,590,1944,75
34031070104,3706,2111,1517,78
34007075005,4336,1848,2410,78
34041110003,4112,2547,1452,113
34031010302,1636,451,1143,42
34031010106,4225,2431,1713,81
34031040605,2775,342,2385,48
34031010110,2603,1243,1324,36
34031020402,5162,2621,2423,118
34015015007,6068,2790,3168,110
34015015001,4674,2487,2098,89
34015035001,1872,937,888,47
34015035004,2534,1400,1053,81
34015010014,4076,1956,2039,81
34015105001,3127,1649,1397,81
34015035002,2787,1632,1101,54
34007170001,6020,1931,3965,124
