GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
39061031AKJ,2835,612,2141,82
39061031ABK,4453,1811,2534,108
39061031BKQ,5024,1718,3192,114
39061031BLU,4746,1649,3009,88
39061031AYG,5915,1779,3994,142
39061031AOO,4585,2320,2122,143
39061031BQN,2985,521,2357,107
39061031AHE,4419,737,3536,146
39167084ABR,2968,2156,733,79
39061031BNQ,4983,2860,2043,80
39061031BKN,4489,1626,2780,83
39061031ABE,2746,1023,1656,67
39061031AFB,1516,504,979,33
39061031BQM,4585,1592,2886,107
39061031AJP,2385,123,2225,37
39061031AVB,3692,1741,1847,104
39061031AFA,5291,1414,3750,127
39061031AFD,4717,674,3920,123
39061031AWL,2939,1563,1293,83
39061031BDM,3166,1424,1653,89
39061031BHE,5055,3430,1491,134
39061031BOM,5375,696,4549,130
39061031AKY,3805,2181,1503,121
39061031AFC,4446,691,3647,108
39061031AJA,5184,998,4054,132
39061031AVJ,4013,2050,1859,104
39061031AJN,5958,616,5165,177
39061031BOI,4958,3781,1061,116
39061031ABB,1040,671,330,39
39061031AUG,3283,1155,2037,91
39061031AKL,3830,724,3023,83
39061031AMU,4504,1229,3181,94
39061031ACI,5335,1826,3359,150
39061031BEB,3901,2355,1438,108
39061031BDZ,4073,2523,1429,121
39061031AXW,2560,750,1753,57
39061031ASP,4934,2730,2089,115
39061031AMC,2813,401,2350,62
39061031BMW,4714,2223,2400,91
39061031BHG,4392,2884,1362,146
39061031BHV,4941,3403,1394,144
39061031AAF,2435,708,1665,62
39077039ABE,3589,2315,1180,94
39077039ACK,1922,1517,343,62
39077039ABP,1804,1343,403,58
39013007ACL,2552,1557,940,55
39013007AAB,2068,1031,968,69
39077039ACF,3175,2184,885,106
39077039ACI,2833,1631,1105,97
39061031AFM,3890,167,3652,71
39061031BMO,5859,3263,2410,186
39061031AGN,2479,185,2245,49
39061031BOF,3109,1832,1227,50
39061031ARG,4229,2323,1746,160
39061031ARE,3649,1994,1543,112
39061031AQZ,3811,1957,1725,129
39061031AKX,4791,3060,1605,126
39061031BAS,4698,2808,1783,107
39005003ACO,3169,2321,749,99
39013007ADK,2399,1586,766,47
39013007ADW,854,404,438,12
39013007ADI,3407,1894,1404,109
39127064AAY,3587,2184,1305,98
39127064AAQ,1543,988,502,53
39127064AAR,2390,1809,520,61
39129065ABD,3371,2538,772,61
39077039ACM,4243,2656,1419,168
39005003ABI,4143,2897,1111,135
39005003ACH,2288,1842,402,44
39005003ACB,1181,781,356,44
39077039ABT,2811,1807,929,75
39077039ABU,3943,2885,947,111
39077039AAD,3727,2159,1416,152
39077039ABA,1790,1060,671,59
39013007ACN,3697,2613,1038,46
39013007ABG,886,675,194,17
39013007ADD,1406,952,422,32
39083042AAY,2322,1695,589,38
39059030ABE,3653,2421,1142,90
39059030ABR,1359,879,426,54
39059030ACR,3853,2967,821,65
39059030AAX,2601,1580,960,61
39059030ABS,2510,1777,660,73
39059030AAA,2577,1313,1181,83
39059030ABU,2663,2046,554,63
39129065AAQ,1491,1049,411,31
39127064ABM,1317,696,574,47
39127064ABN,2093,1247,781,65
39127064AAM,2843,2144,632,67
39129065ABJ,2975,2128,774,73
39127064ABK,1808,1200,570,38
39057029AHW,3145,2352,732,61
39057029ACO,3003,1714,1208,81
39057029AFG,3707,2497,1121,89
39057029AHJ,3486,229,3162,95
39167084ABP,3741,2697,962,82
39129065AAI,4195,2664,1435,96
39129065AAR,3880,2446,1339,95
39129065AAS,2822,2086,673,63
39129065ABM,2577,1754,776,47
39059030ACK,2302,1468,781,53
39075038AAX,4516,3917,541,58
39129065AAW,3622,2407,1127,88
39057029AFS,3283,1998,1247,38
39057029AIP,3287,2466,754,67
39057029AFN,1739,920,755,64
39057029AGZ,2371,1988,345,38
39083042AAO,5198,3932,1151,115
39083042ABO,2670,2008,587,75
39129065ABI,2470,1816,613,41
39129065ABZ,1298,943,330,25
39083042ABL,3168,2241,849,78
39083042ACB,3580,2695,829,56
39081041ADW,3372,1832,1448,92
39121061AAL,1472,1092,338,42
39121061AAJ,1308,973,298,37
