GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
42035000100,3006,1991,957,58
42099000250,6225,4812,1210,203
42099000260,2243,1738,432,73
42099000040,14927,10836,3600,491
42099000150,7368,4410,2715,243
42099000020,2831,1814,923,94
42003005041,1677,166,1489,22
42003000430,1618,720,862,36
42003000411,4503,1538,2791,174
42003002571,2908,1449,1368,91
42007000985,6013,3046,2778,189
42007000995,5429,2532,2761,136
42007000975,4474,2118,2204,152
42007000435,5005,2793,2084,128
42007001460,1732,504,1172,56
42007001040,7507,4866,2445,196
42007000065,4505,1807,2580,118
42099000065,3722,2311,1232,179
42099000240,7828,5521,2098,209
42099000120,485,334,134,17
42099000050,7013,5113,1680,220
42099000270,6553,4744,1631,178
42099000191,3118,2016,951,151
42007000780,6778,4216,2360,202
42007000770,4376,3125,1153,98
42007000510,2450,1223,1153,74
42007000550,4149,2143,1903,103
42007000560,3883,2081,1724,78
42007001240,3800,1793,1862,145
42007000015,2977,166,2775,36
42007000500,3004,1510,1405,89
42007001210,1814,774,937,103
42007000075,3509,1420,1965,124
42099000290,828,613,194,21
42099000330,9407,7058,2111,238
42099000320,3935,2888,936,111
42099000080,3450,2381,991,78
42099000100,1011,764,215,32
42007001480,2169,1033,1058,78
42007001560,3210,1560,1542,108
42007000055,5232,1336,3749,147
42007000095,1566,129,1404,33
42007001185,3977,1819,2060,98
42007001380,2137,1238,848,51
42007001055,5340,2982,2182,176
42007000440,6116,3492,2452,172
42007001320,1337,672,611,54
42007001175,3672,1795,1766,111
42007001290,3611,2198,1257,156
42007000405,5978,3519,2281,178
42007001148,1866,894,905,67
42007000155,2695,864,1736,95
42007001080,2812,1871,847,94
42003005880,1796,190,1544,62
4200300E010,2343,964,1313,66
4200300E140,3811,2174,1566,71
42003003360,3970,2086,1790,94
42003003700,1301,197,1072,32
4200300B030,2014,512,1438,64
42003000452,3694,1774,1853,67
42003000441,3927,1860,1966,101
42003000472,4918,2313,2456,149
42003001200,1463,184,1262,17
42003001740,1410,160,1220,30
4200300B130,1984,458,1423,103
42067000200,6239,4693,1367,179
42007001535,4420,1998,2297,125
42007000265,4027,1917,1953,157
42007000275,4783,2443,2194,146
42007000005,1239,544,649,46
42003005291,2583,1268,1244,71
42003003000,7539,4031,3394,114
4200300H091,2535,111,2386,38
42003006390,4422,631,3631,160
4200300B600,2907,1064,1774,69
4200300B580,864,309,525,30
4200300C440,1262,114,1116,32
42003009130,2881,350,2459,72
42003009110,2358,268,2039,51
42003000770,4836,2417,2279,140
42003003570,21,0,21,0
4200300B660,1783,404,1298,81
4200300A350,424,12,405,7
42003003070,5713,2905,2691,117
42003000950,1308,363,906,39
42003001451,3248,996,2158,94
4200300B720,670,201,443,26
42007001095,4099,1301,2706,92
42007001340,5050,3271,1606,173
42007000735,5347,2878,2313,156
