GEOID,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
45079000401,1898,68,1807,23
45079000132,3105,82,2984,39
45079000458,7714,251,7359,104
45079000446,4943,358,4503,82
45079000129,4912,273,4544,95
45071000005,1873,273,1585,15
45071000020,2143,1370,718,55
45071000001,1488,666,791,31
45071000034,626,445,162,19
45071000040,3563,2894,581,88
45071000015,7443,5805,1495,143
45079000448,8511,3210,5159,142
45079000126,5500,1721,3617,162
45079000483,9734,4080,5499,155
45071000002,3906,2389,1406,111
45071000019,2033,1450,563,20
45071000042,4488,2842,1550,96
45071000027,4496,1983,2426,87
45079000484,7865,3424,4281,160
45079000480,5665,501,5085,79
45079000102,2525,427,2048,50
45079000455,7402,2080,5185,137
45079000442,5946,772,5092,82
45079000403,7802,5584,2072,146
45079000441,5219,542,4636,41
45079000478,6122,688,5342,92
45079000413,8777,1833,6827,117
45079000452,7855,203,7579,73
45079000440,5307,1648,3531,128
45079000492,6208,2824,3245,139
45079000109,3158,126,2970,62
45079000449,9683,2569,6932,182
45079000408,10748,4295,6235,218
45079000501,10404,8146,2065,193
45079000400,6422,2619,3637,166
45079000513,5791,634,5051,106
45071000007,2147,253,1860,34
45071000008,4055,2059,1910,86
45079000123,4300,1394,2791,115
45079000457,7287,3681,3435,171
45079000417,4768,1772,2802,194
45079000118,4649,591,3972,86
45079000426,10830,1819,8841,170
45079000464,11256,4085,6950,221
45079000114,7362,2693,4466,203
45079000467,3355,1804,1473,78
45071000039,3061,1960,1040,61
45071000013,2929,1899,969,61
45071000036,3186,1742,1364,80
45071000051,3808,2227,1507,74
45071000028,4692,3220,1379,93
45079000462,6813,2662,4026,125
45079000113,9097,2892,5970,235
45079000494,11713,4349,7104,260
45079000450,10932,1499,9286,147
45079000459,3325,1285,1989,51
45079000406,8474,5248,3059,167
45079000430,6941,3796,3027,118
45079000131,3355,113,3183,59
45079000103,6286,1663,4421,202
45079000405,7467,296,7111,60
45079000415,5359,202,5078,79
45079000427,3231,70,3127,34
45079000507,5191,1597,3501,93
45079000122,5800,260,5457,83
45079000439,8358,2240,5890,228
45079000125,7643,5020,2450,173
45023000001,3805,1421,2306,78
45023000003,4183,2156,1959,68
45023000011,6144,3647,2415,82
45079000497,11653,2131,9337,185
45079000509,11929,1445,10293,191
45027000016,2258,1351,893,14
45027000023,4622,3171,1407,44
45027000019,1753,533,1219,1
45027000006,7036,3770,3192,74
45027000010,8472,5821,2515,136
45027000020,8073,4567,3421,85
45027000021,1461,285,1160,16
45027000013,5184,3125,1987,72
45079000506,4621,2605,1932,84
45079000410,7549,1725,5669,155
45079000460,9373,1346,7851,176
45059000007,3879,2423,1391,65
45079000433,5589,2280,3178,131
45079000503,10492,2090,8186,216
45089000022,1599,561,1018,20
45089000014,10291,5072,5100,119
45035000049,3942,2347,1492,103
45035000092,4221,2867,1239,115
45035000043,4675,3027,1536,112
45035000107,2976,2000,885,91
45035000073,7131,3931,3057,143
45035000063,9217,4734,4244,239
45079000511,4470,1263,3118,89
45079000496,4643,1119,3439,85
45079000104,6167,1589,4351,227
45079000515,9283,2190,6933,160
45079000447,7076,2012,4888,176
45079000106,5989,2279,3542,168
45059000013,5127,2839,2165,123
45059000022,8951,5713,3011,227
45045000337,20761,13563,6674,524
45083000027,5213,4179,893,141
45079000453,19505,9581,9538,386
45015000002,1032,922,83,27
45015000035,5282,3981,1179,122
45015000085,5403,2801,2456,146
45015000088,232,182,46,4
45015000093,3489,1620,1793,76
45015000098,4,0,4,0
45015000029,5745,5002,621,122
45015000096,762,677,66,19
45015000001,3995,1608,2334,53
45015000087,8448,3716,4478,254
45015000058,6281,2697,3442,142
45015000012,8312,5675,2533,104
45059000018,6030,3703,2206,121
45059000029,2365,1878,428,59
45059000015,4178,1516,2568,94
45057000009,5946,2858,2966,122
45057000023,3034,1472,1520,42
45057000013,4272,2660,1529,83
45023000018,4120,2865,1191,64
45059000002,1685,269,1378,38
45059000020,4925,2955,1889,81
45059000010,3620,2403,1167,50
45029000024,2223,1638,542,43
45029000029,4199,2008,2118,73
45029000019,3152,1701,1377,74
45029000015,3090,1321,1721,48
45029000025,4021,1468,2508,45
45029000031,4656,731,3877,48
45029000032,4901,2917,1864,120
45059000014,6580,4874,1596,110
45029000033,1320,717,579,24
45079000402,6387,3820,2368,199
45079000105,3537,1297,2110,130
45089000011,5790,2102,3676,12
45015000027,2229,896,1295,38
45015000034,6617,4934,1558,125
45015000031,6055,3609,2348,98
45015000049,9280,5668,3388,224
45015000007,4483,1028,3410,45
45015000063,9251,6095,2919,237
45015000038,3807,2250,1448,109
45015000045,7549,5263,2166,120
